.threshold,specificity,sensitivity
-Inf,0,1
0,0,1
0.00425531914893617,0.005776173285198556,0.997346753624677
0.00851063829787234,0.01660649819494585,0.993649326417775
0.01276595744680851,0.025992779783393503,0.9886680703195878
0.01702127659574468,0.03411552346570397,0.9848508190828327
0.02127659574468085,0.043501805054151625,0.981307451342885
0.02553191489361702,0.049819494584837545,0.9774046115133775
0.029787234042553193,0.056137184115523465,0.9741008918331365
0.03404255319148936,0.06155234657039711,0.9707971721528955
0.03829787234042553,0.06534296028880866,0.9682295143703247
0.0425531914893617,0.06823104693140794,0.9651825604683408
0.04680851063829787,0.07382671480144404,0.96261490268577
0.05106382978723404,0.0779783393501805,0.9597048905321899
0.05531914893617021,0.08249097472924188,0.9572057036238211
0.059574468085106386,0.08574007220216606,0.9542272205960389
0.06382978723404255,0.09115523465703972,0.9520532703401291
0.06808510638297872,0.09584837545126354,0.9498108492100172
0.07234042553191489,0.10072202166064982,0.9474828394871532
0.07659574468085106,0.10451263537906137,0.9451205943271881
0.08085106382978724,0.10758122743682311,0.9431007035382324
0.0851063829787234,0.11010830324909747,0.9410979304678272
0.08936170212765958,0.11263537906137185,0.9384446840925041
0.09361702127659574,0.11498194945848375,0.9365446173334018
0.09787234042553192,0.11823104693140794,0.9344391379516938
0.10212765957446808,0.12166064981949458,0.9322480699772334
0.10638297872340426,0.12346570397111914,0.9299885311285712
0.11063829787234042,0.12743682310469315,0.9276605214057071
0.1148936170212766,0.13249097472924187,0.9255036888683477
0.11914893617021277,0.13610108303249097,0.9236720929834472
0.12340425531914893,0.14025270758122743,0.9217377907872438
0.1276595744680851,0.14332129963898918,0.9193926633458293
0.13191489361702127,0.14747292418772562,0.917167359934268
0.13617021276595745,0.15180505415162454,0.9147879970557524
0.14042553191489363,0.1575812274368231,0.9129050480152006
0.14468085106382977,0.1611913357400722,0.9105599205737859
0.14893617021276595,0.1648014440433213,0.9083688525993255
0.15319148936170213,0.16895306859205775,0.9064859035587737
0.1574468085106383,0.17166064981949458,0.9044488950512676
0.16170212765957448,0.1756317689530686,0.902651534603468
0.16595744680851063,0.17924187725631768,0.9004091134733563
0.1702127659574468,0.1832129963898917,0.8986117530255567
0.17446808510638298,0.1855595667870036,0.8968828634519591
0.17872340425531916,0.18989169675090253,0.894845854944453
0.1829787234042553,0.19458483754512634,0.8928259641554973
0.18723404255319148,0.1987364620938628,0.8912340163303035
0.19148936170212766,0.20270758122743682,0.8891798901042469
0.19574468085106383,0.2072202166064982,0.8871942347523922
0.2,0.2111913357400722,0.885191461681987
0.20425531914893616,0.213898916967509,0.8832742772043342
0.20851063829787234,0.21931407942238268,0.8813228572895805
0.2127659574468085,0.22454873646209386,0.8795426145603314
0.2170212765957447,0.2308664259927798,0.8775227237713757
0.22127659574468084,0.23465703971119134,0.8759992468203838
0.225531914893617,0.23898916967509026,0.874373063558089
0.2297872340425532,0.24223826714801444,0.8726099385473904
0.23404255319148937,0.24548736462093862,0.8707269895068386
0.23829787234042554,0.2512635379061372,0.8687242164364334
0.2425531914893617,0.2563176895306859,0.8668755028329824
0.24680851063829787,0.25956678700361013,0.8648727297625772
0.251063829787234,0.26263537906137185,0.8633321350930347
0.2553191489361702,0.2660649819494585,0.8612951265855286
0.25957446808510637,0.2700361010830325,0.8592238826409216
0.26382978723404255,0.2727436823104693,0.8573409336003698
0.2680851063829787,0.27653429602888085,0.8554066314041665
0.2723404255319149,0.2799638989169675,0.8533525051781099
0.2765957446808511,0.28303249097472927,0.8511272017665485
0.28085106382978725,0.2868231046931408,0.8492784881630976
0.2851063829787234,0.2909747292418773,0.847224361937041
0.28936170212765955,0.29530685920577615,0.8450332939625806
0.2936170212765957,0.29873646209386284,0.8435098170115887
0.2978723404255319,0.30324909747292417,0.8414043376298806
0.3021276595744681,0.3115523465703971,0.8392132696554203
0.30638297872340425,0.3155234657039711,0.8371591434293637
0.31063829787234043,0.3194945848375451,0.8352590766702613
0.3148936170212766,0.32328519855595667,0.8333590099111591
0.3191489361702128,0.32743682310469313,0.8313562368407539
0.32340425531914896,0.33140794223826714,0.8290282271178897
0.3276595744680851,0.33808664259927795,0.8266830996764751
0.33191489361702126,0.3422382671480144,0.8244577962649138
0.33617021276595743,0.34909747292418775,0.8223694346017563
0.3404255319148936,0.3523465703971119,0.8199729540046903
0.3446808510638298,0.3572202166064982,0.8176449442818261
0.34893617021276596,0.3615523465703971,0.815933172426779
0.35319148936170214,0.36570397111913355,0.8138790462007224
0.3574468085106383,0.3707581227436823,0.8117393313819135
0.3617021276595745,0.3743682310469314,0.8096680874373063
0.3659574468085106,0.38068592057761735,0.8077337852411031
0.3702127659574468,0.3862815884476534,0.8056111881408445
0.37446808510638296,0.3938628158844765,0.803300296136531
0.37872340425531914,0.39783393501805053,0.8017083483113371
0.3829787234042553,0.4023465703971119,0.7998596347078861
0.3872340425531915,0.4075812274368231,0.7975487427035725
0.39148936170212767,0.4120938628158845,0.7953063215734607
0.39574468085106385,0.4167870036101083,0.7928584878207432
0.4,0.4211191335740072,0.790598948972081
0.40425531914893614,0.4259927797833935,0.7885105873089234
0.4085106382978723,0.4308664259927798,0.7859429295263527
0.4127659574468085,0.4359205776173285,0.78366627295914
0.41702127659574467,0.43971119133574005,0.7808760848354132
0.42127659574468085,0.4435018050541516,0.7783255447713928
0.425531914893617,0.4492779783393502,0.7761002413598316
0.4297872340425532,0.453971119133574,0.7736352898885637
0.4340425531914894,0.4590252707581227,0.7712045738543967
0.43829787234042555,0.4644404332129964,0.7688765641315326
