.threshold,recall,precision
Inf,0,1
0.9449014216661453,1.8050541516245486e-4,1
0.9420931488275528,3.6101083032490973e-4,1
0.9410679936408997,5.415162454873646e-4,1
0.940750490874052,7.220216606498195e-4,1
0.9404706172645092,9.025270758122744e-4,1
0.9396337792277336,9.025270758122744e-4,0.8333333333333334
0.9388679936528206,0.0010830324909747292,0.8571428571428571
0.938326757401228,0.001263537906137184,0.875
0.9380190409719944,0.001263537906137184,0.7777777777777778
0.9361781924962997,0.001444043321299639,0.8
0.9356885254383087,0.001624548736462094,0.8181818181818182
0.9354821369051933,0.0018050541516245488,0.8333333333333334
0.935265563428402,0.0019855595667870036,0.8461538461538461
0.9351928159594536,0.0021660649819494585,0.8571428571428571
0.934925377368927,0.0023465703971119133,0.8666666666666667
0.9342806562781334,0.002527075812274368,0.875
0.934221439063549,0.002707581227436823,0.8823529411764706
0.9339197725057602,0.002888086642599278,0.8888888888888888
0.9331097826361656,0.0030685920577617327,0.8947368421052632
0.9328958913683891,0.003249097472924188,0.9
0.9328474551439285,0.0034296028880866428,0.9047619047619048
0.9327919706702232,0.0034296028880866428,0.8636363636363636
0.932784914970398,0.0036101083032490976,0.8695652173913043
0.9326477348804474,0.0036101083032490976,0.8333333333333334
0.9312277510762215,0.0037906137184115524,0.84
0.9312181770801544,0.003971119133574007,0.8461538461538461
0.9304722920060158,0.003971119133574007,0.8148148148148148
0.9292812719941139,0.003971119133574007,0.7857142857142857
0.9291335642337799,0.004151624548736462,0.7931034482758621
0.928444117307663,0.004151624548736462,0.7666666666666667
0.9284329637885094,0.004151624548736462,0.7419354838709677
0.928363561630249,0.004151624548736462,0.71875
0.9278794005513191,0.004332129963898917,0.7272727272727273
0.9276779666543007,0.004332129963898917,0.7058823529411765
0.9270280003547668,0.004512635379061372,0.7142857142857143
0.9270023256540298,0.004693140794223827,0.7222222222222222
0.9268824085593224,0.0048736462093862815,0.7297297297297297
0.9264272972941399,0.0048736462093862815,0.7105263157894737
0.9263370409607887,0.005054151624548736,0.717948717948718
0.9258486479520798,0.005234657039711191,0.725
0.9256743267178535,0.005234657039711191,0.7073170731707317
0.9256213679909706,0.005234657039711191,0.6904761904761905
0.9249366521835327,0.005415162454873646,0.6976744186046512
0.9246152341365814,0.005595667870036101,0.7045454545454546
0.9245520457625389,0.005776173285198556,0.7111111111111111
0.9245397746562958,0.005776173285198556,0.6956521739130435
0.9244669526815414,0.005776173285198556,0.6808510638297872
0.9238416999578476,0.0059566787003610105,0.6875
0.9237658381462097,0.006137184115523465,0.6938775510204082
0.9235774576663971,0.006137184115523465,0.68
0.9231079369783401,0.00631768953068592,0.6862745098039216
0.9229850545525551,0.00631768953068592,0.6730769230769231
0.9229624792933464,0.006498194945848376,0.6792452830188679
0.9228953793644905,0.006498194945848376,0.6666666666666666
0.9224160313606262,0.006678700361010831,0.6727272727272727
0.9220612123608589,0.006678700361010831,0.6607142857142857
0.9219070374965668,0.0068592057761732855,0.6666666666666666
0.9218054488301277,0.00703971119133574,0.6724137931034483
0.9216150492429733,0.007220216606498195,0.6779661016949152
0.9213141426444054,0.00740072202166065,0.6833333333333333
0.9212157428264618,0.007581227436823105,0.6774193548387096
0.9211187735199928,0.007581227436823105,0.6666666666666666
0.9210709631443024,0.007581227436823105,0.65625
0.9208076223731041,0.00776173285198556,0.6615384615384615
0.9206430166959763,0.00776173285198556,0.6515151515151515
0.9205545485019684,0.007942238267148015,0.6567164179104478
0.9205307438969612,0.008122743682310469,0.6617647058823529
0.92040204256773,0.008303249097472924,0.6666666666666666
0.9201704487204552,0.00848375451263538,0.6714285714285714
0.9201617985963821,0.00848375451263538,0.6619718309859155
0.9198511093854904,0.008664259927797834,0.6666666666666666
0.9197900742292404,0.00884476534296029,0.6712328767123288
0.9196425303816795,0.009025270758122744,0.6756756756756757
0.9195744469761848,0.009025270758122744,0.6666666666666666
0.9192637354135513,0.0092057761732852,0.6710526315789473
0.9189541712403297,0.009386281588447653,0.6753246753246753
0.9188890531659126,0.009566787003610109,0.6794871794871795
0.9185616448521614,0.009566787003610109,0.6708860759493671
0.9183701947331429,0.009566787003610109,0.6625
0.9183493703603745,0.009747292418772563,0.6666666666666666
0.9183268025517464,0.009927797833935019,0.6707317073170732
0.9182503446936607,0.010108303249097473,0.6746987951807228
0.9180335626006126,0.010288808664259928,0.6785714285714286
0.9178894236683846,0.010469314079422382,0.6823529411764706
0.917342059314251,0.010649819494584838,0.686046511627907
0.917339488863945,0.010830324909747292,0.6896551724137931
0.917324610054493,0.010830324909747292,0.6818181818181818
0.9173131287097931,0.011010830324909748,0.6853932584269663
0.9172175228595734,0.011191335740072202,0.6888888888888889
0.9171566218137741,0.011191335740072202,0.6813186813186813
0.9171087667346001,0.011191335740072202,0.6739130434782609
0.9170397222042084,0.011371841155234657,0.6774193548387096
0.9170077368617058,0.011371841155234657,0.6702127659574468
0.9169923514127731,0.011552346570397111,0.6736842105263158
0.9169127196073532,0.011732851985559567,0.6770833333333334
0.9167846888303757,0.011913357400722021,0.6804123711340206
0.9167741537094116,0.012093862815884477,0.6836734693877551
0.9166880324482918,0.012093862815884477,0.6767676767676768
0.916673831641674,0.01227436823104693,0.68
0.9165603518486023,0.01227436823104693,0.6732673267326733
0.9162273555994034,0.012454873646209386,0.6764705882352942
0.9160890355706215,0.01263537906137184,0.6796116504854369
0.9159562662243843,0.012815884476534296,0.6826923076923077
0.9158132374286652,0.012996389891696752,0.6857142857142857
0.9157405868172646,0.012996389891696752,0.6792452830188679
0.9157074615359306,0.012996389891696752,0.6728971962616822
0.9156757816672325,0.012996389891696752,0.6666666666666666
0.9156210422515869,0.013176895306859206,0.6697247706422018
0.9156123995780945,0.013357400722021661,0.6727272727272727
0.9154824614524841,0.013357400722021661,0.6666666666666666
0.9154188260436058,0.013537906137184115,0.6696428571428571
0.9149897694587708,0.013537906137184115,0.6637168141592921
0.9149070605635643,0.013718411552346571,0.6666666666666666
