.threshold,specificity,sensitivity
-Inf,0,1
0.013112037712070146,0,1
0.013458770519764074,1.8050541516245486e-4,1
0.016046540663318454,3.6101083032490973e-4,1
0.017312360514396996,5.415162454873646e-4,1
0.01809927233148001,5.415162454873646e-4,0.9999828822814495
0.01828449601568427,7.220216606498195e-4,0.9999828822814495
0.01848771842002217,9.025270758122744e-4,0.9999828822814495
0.019334900337213412,9.025270758122744e-4,0.9999657645628991
0.019785772027372972,0.0010830324909747292,0.9999657645628991
0.020918199876918453,0.0010830324909747292,0.9999486468443486
0.02121595241949137,0.001263537906137184,0.9999486468443486
0.022157249703766313,0.001444043321299639,0.9999486468443486
0.02254743009013782,0.001624548736462094,0.9999486468443486
0.02255836305604164,0.0018050541516245488,0.9999486468443486
0.02313340178272094,0.0018050541516245488,0.9999315291257981
0.024002829495762934,0.0019855595667870036,0.9999315291257981
0.02414648767351224,0.0021660649819494585,0.9999315291257981
0.024285567122531493,0.0023465703971119133,0.9999315291257981
0.024660820715311615,0.002527075812274368,0.9999315291257981
0.0248337684027079,0.002707581227436823,0.9999315291257981
0.02518162552748393,0.002888086642599278,0.9999315291257981
0.02637714997017271,0.0030685920577617327,0.9999315291257981
0.02658002927153702,0.003249097472924188,0.9999315291257981
0.026610586000439973,0.0034296028880866428,0.9999315291257981
0.027554157374217736,0.0036101083032490976,0.9999315291257981
0.027767890735351686,0.0037906137184115524,0.9999315291257981
0.02784900270139057,0.003971119133574007,0.9999315291257981
0.027938562580406834,0.004151624548736462,0.9999315291257981
0.028016242681856762,0.004151624548736462,0.9999144114072477
0.028093567401203834,0.004332129963898917,0.9999144114072477
0.028278302798895538,0.004332129963898917,0.9998972936886972
0.02879501294093134,0.004332129963898917,0.9998801759701467
0.028846858966555478,0.004512635379061372,0.9998801759701467
0.029218733151897713,0.004693140794223827,0.9998801759701467
0.029978866038363527,0.0048736462093862815,0.9998801759701467
0.03092125302075377,0.005054151624548736,0.9998801759701467
0.031030480759058454,0.005234657039711191,0.9998801759701467
0.03137039411306397,0.005415162454873646,0.9998801759701467
0.03151831754899903,0.005415162454873646,0.9998630582515963
0.031536223457331314,0.005595667870036101,0.9998630582515963
0.0315949340884627,0.005776173285198556,0.9998630582515963
0.031756179213946356,0.0059566787003610105,0.9998630582515963
0.031900358147105345,0.0059566787003610105,0.9998459405330458
0.031977079822548826,0.006137184115523465,0.9998459405330458
